,Compound Score,Date,Negative Score,Neutral Score,News Organization,Positive Score,Tweets Ago
105,-0.0516,Wed Aug 01 23:33:32 +0000 2018,0.103,0.802,@CBSNews,0.095,5
106,0.3716,Wed Aug 01 23:31:46 +0000 2018,0.154,0.671,@CBSNews,0.176,6
107,-0.7351,Wed Aug 01 23:28:41 +0000 2018,0.237,0.763,@CBSNews,0.0,7
108,-0.7964,Wed Aug 01 23:19:31 +0000 2018,0.372,0.628,@CBSNews,0.0,8
109,-0.4215,Wed Aug 01 23:03:34 +0000 2018,0.128,0.872,@CBSNews,0.0,9
110,-0.6705,Wed Aug 01 22:59:55 +0000 2018,0.17,0.83,@CBSNews,0.0,10
111,-0.296,Wed Aug 01 22:56:20 +0000 2018,0.167,0.714,@CBSNews,0.119,11
112,-0.8718,Wed Aug 01 22:50:52 +0000 2018,0.368,0.632,@CBSNews,0.0,12
113,0.0,Wed Aug 01 22:47:27 +0000 2018,0.0,1.0,@CBSNews,0.0,13
114,-0.7845,Wed Aug 01 22:43:16 +0000 2018,0.289,0.711,@CBSNews,0.0,14
115,0.3818,Wed Aug 01 22:40:59 +0000 2018,0.0,0.88,@CBSNews,0.12,15
116,-0.1531,Wed Aug 01 22:19:34 +0000 2018,0.086,0.914,@CBSNews,0.0,16
117,-0.25,Wed Aug 01 22:01:16 +0000 2018,0.095,0.905,@CBSNews,0.0,17
118,-0.5267,Wed Aug 01 21:45:00 +0000 2018,0.185,0.815,@CBSNews,0.0,18
119,-0.2263,Wed Aug 01 21:30:32 +0000 2018,0.101,0.899,@CBSNews,0.0,19
120,-0.2263,Wed Aug 01 21:14:31 +0000 2018,0.106,0.894,@CBSNews,0.0,20
121,0.2732,Wed Aug 01 21:01:22 +0000 2018,0.133,0.667,@CBSNews,0.2,21
122,-0.7845,Wed Aug 01 20:40:39 +0000 2018,0.385,0.615,@CBSNews,0.0,22
123,-0.7269,Wed Aug 01 20:38:10 +0000 2018,0.253,0.747,@CBSNews,0.0,23
124,-0.8126,Wed Aug 01 20:34:35 +0000 2018,0.402,0.598,@CBSNews,0.0,24
125,-0.5423,Wed Aug 01 20:20:00 +0000 2018,0.196,0.741,@CBSNews,0.063,25
126,-0.6705,Wed Aug 01 20:04:49 +0000 2018,0.297,0.703,@CBSNews,0.0,26
127,0.0,Wed Aug 01 19:49:42 +0000 2018,0.0,1.0,@CBSNews,0.0,27
128,-0.6486,Wed Aug 01 19:35:00 +0000 2018,0.249,0.751,@CBSNews,0.0,28
129,0.0,Wed Aug 01 19:20:59 +0000 2018,0.0,1.0,@CBSNews,0.0,29
130,0.4019,Wed Aug 01 19:13:23 +0000 2018,0.0,0.863,@CBSNews,0.137,30
131,-0.7184,Wed Aug 01 19:00:50 +0000 2018,0.273,0.727,@CBSNews,0.0,31
132,0.128,Wed Aug 01 18:49:23 +0000 2018,0.0,0.923,@CBSNews,0.077,32
133,0.0,Wed Aug 01 18:44:31 +0000 2018,0.0,1.0,@CBSNews,0.0,33
134,0.34,Wed Aug 01 18:31:01 +0000 2018,0.0,0.882,@CBSNews,0.118,34
135,-0.8555,Wed Aug 01 18:16:14 +0000 2018,0.307,0.693,@CBSNews,0.0,35
136,0.6377,Wed Aug 01 18:08:09 +0000 2018,0.0,0.755,@CBSNews,0.245,36
137,0.0,Wed Aug 01 18:04:09 +0000 2018,0.0,1.0,@CBSNews,0.0,37
138,0.0,Wed Aug 01 18:02:08 +0000 2018,0.0,1.0,@CBSNews,0.0,38
139,0.0,Wed Aug 01 18:01:00 +0000 2018,0.0,1.0,@CBSNews,0.0,39
140,-0.296,Wed Aug 01 14:04:44 +0000 2018,0.136,0.864,@CBSNews,0.0,40
141,-0.5994,Wed Aug 01 13:49:31 +0000 2018,0.272,0.604,@CBSNews,0.125,41
142,0.6652,Wed Aug 01 13:35:20 +0000 2018,0.0,0.81,@CBSNews,0.19,42
143,0.8668,Wed Aug 01 13:20:27 +0000 2018,0.0,0.636,@CBSNews,0.364,43
144,0.2023,Wed Aug 01 12:59:39 +0000 2018,0.0,0.917,@CBSNews,0.083,44
145,-0.0772,Wed Aug 01 12:39:43 +0000 2018,0.231,0.559,@CBSNews,0.21,45
146,0.0,Wed Aug 01 12:19:38 +0000 2018,0.0,1.0,@CBSNews,0.0,46
147,0.0772,Wed Aug 01 12:09:53 +0000 2018,0.109,0.769,@CBSNews,0.122,47
148,0.0,Wed Aug 01 12:09:30 +0000 2018,0.0,1.0,@CBSNews,0.0,48
149,0.1779,Wed Aug 01 12:09:25 +0000 2018,0.104,0.763,@CBSNews,0.133,49
150,-0.6711,Wed Aug 01 12:09:21 +0000 2018,0.235,0.706,@CBSNews,0.059,50
151,0.6124,Wed Aug 01 12:02:43 +0000 2018,0.0,0.8,@CBSNews,0.2,51
152,0.0,Wed Aug 01 12:00:23 +0000 2018,0.0,1.0,@CBSNews,0.0,52
153,0.6908,Wed Aug 01 11:53:56 +0000 2018,0.0,0.769,@CBSNews,0.231,53
154,-0.6124,Wed Aug 01 11:47:40 +0000 2018,0.238,0.762,@CBSNews,0.0,54
155,0.0772,Wed Aug 01 11:40:12 +0000 2018,0.0,0.942,@CBSNews,0.058,55
156,0.0,Wed Aug 01 11:19:47 +0000 2018,0.0,1.0,@CBSNews,0.0,56
157,-0.2732,Wed Aug 01 10:59:33 +0000 2018,0.185,0.701,@CBSNews,0.115,57
158,0.0,Wed Aug 01 10:45:25 +0000 2018,0.0,1.0,@CBSNews,0.0,58
159,-0.5994,Wed Aug 01 10:39:55 +0000 2018,0.262,0.738,@CBSNews,0.0,59
160,-0.5994,Wed Aug 01 02:20:01 +0000 2018,0.245,0.755,@CBSNews,0.0,60
161,-0.4404,Wed Aug 01 01:39:41 +0000 2018,0.127,0.873,@CBSNews,0.0,61
162,0.0772,Wed Aug 01 01:17:20 +0000 2018,0.0,0.942,@CBSNews,0.058,62
163,-0.3182,Wed Aug 01 01:09:53 +0000 2018,0.176,0.727,@CBSNews,0.097,63
164,0.2023,Wed Aug 01 00:51:10 +0000 2018,0.0,0.913,@CBSNews,0.087,64
165,0.0,Wed Aug 01 00:39:50 +0000 2018,0.0,1.0,@CBSNews,0.0,65
166,0.0,Wed Aug 01 00:19:39 +0000 2018,0.0,1.0,@CBSNews,0.0,66
167,0.0516,Wed Aug 01 00:00:00 +0000 2018,0.101,0.787,@CBSNews,0.112,67
168,0.6124,Tue Jul 31 23:39:37 +0000 2018,0.122,0.523,@CBSNews,0.355,68
169,-0.743,Tue Jul 31 23:30:32 +0000 2018,0.223,0.777,@CBSNews,0.0,69
170,-0.296,Tue Jul 31 23:21:31 +0000 2018,0.115,0.885,@CBSNews,0.0,70
171,0.0,Tue Jul 31 23:14:02 +0000 2018,0.0,1.0,@CBSNews,0.0,71
172,0.0,Tue Jul 31 23:11:49 +0000 2018,0.0,1.0,@CBSNews,0.0,72
173,0.0,Tue Jul 31 23:08:10 +0000 2018,0.0,1.0,@CBSNews,0.0,73
174,0.5559,Tue Jul 31 23:05:43 +0000 2018,0.0,0.805,@CBSNews,0.195,74
175,-0.5574,Tue Jul 31 23:02:53 +0000 2018,0.13,0.87,@CBSNews,0.0,75
176,0.2263,Tue Jul 31 22:58:13 +0000 2018,0.0,0.909,@CBSNews,0.091,76
177,0.0,Tue Jul 31 22:49:56 +0000 2018,0.0,1.0,@CBSNews,0.0,77
178,-0.34,Tue Jul 31 22:46:44 +0000 2018,0.103,0.897,@CBSNews,0.0,78
179,0.0,Tue Jul 31 22:41:48 +0000 2018,0.0,1.0,@CBSNews,0.0,79
180,0.0,Tue Jul 31 10:31:39 +0000 2018,0.0,1.0,@CBSNews,0.0,80
181,0.0,Tue Jul 31 10:19:55 +0000 2018,0.0,1.0,@CBSNews,0.0,81
182,0.0,Tue Jul 31 10:10:20 +0000 2018,0.0,1.0,@CBSNews,0.0,82
183,-0.4939,Tue Jul 31 10:03:05 +0000 2018,0.296,0.704,@CBSNews,0.0,83
184,-0.5046,Tue Jul 31 10:02:53 +0000 2018,0.246,0.754,@CBSNews,0.0,84
185,0.0,Tue Jul 31 09:53:31 +0000 2018,0.0,1.0,@CBSNews,0.0,85
186,0.4019,Tue Jul 31 09:48:03 +0000 2018,0.0,0.847,@CBSNews,0.153,86
187,0.802,Tue Jul 31 09:45:28 +0000 2018,0.0,0.625,@CBSNews,0.375,87
188,-0.34,Tue Jul 31 09:38:05 +0000 2018,0.179,0.821,@CBSNews,0.0,88
189,-0.6124,Tue Jul 31 09:32:05 +0000 2018,0.333,0.667,@CBSNews,0.0,89
190,0.6705,Tue Jul 31 09:18:04 +0000 2018,0.0,0.621,@CBSNews,0.379,90
191,0.0,Tue Jul 31 09:03:04 +0000 2018,0.0,1.0,@CBSNews,0.0,91
192,0.0,Tue Jul 31 08:54:07 +0000 2018,0.0,1.0,@CBSNews,0.0,92
193,0.0,Tue Jul 31 08:48:03 +0000 2018,0.0,1.0,@CBSNews,0.0,93
194,0.0,Tue Jul 31 08:33:03 +0000 2018,0.0,1.0,@CBSNews,0.0,94
